2024PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-02-19 12:25,WATER,DISCRETE SAMPLE,2.28,,,,0,,7.808,,0.602,,0.02,,,,,,,,0.06,,7.57,,0.238,,0.302,,0.031,,,,0.571,,0.0281,,0.0081,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-03-18 13:00,WATER,DISCRETE SAMPLE,2.46,,,,0,,7.317,,0.56,,0.017,,,,,,,,0.047,,7.02,,0.297,,0.115,,0.027,,,,0.533,,0.0298,,0.0126,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-05-14 16:16,WATER,DISCRETE SAMPLE,4.1,,,,0,,23.8,,1.459,,0.535,,,,,,,,0.022,,12,,11.8,,0.002,,1.07,,,,0.389,,0.544,,0.0091,,508,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-06-11 13:15,WATER,DISCRETE SAMPLE,3.9,,,,0.001,,12.89,,0.933,,0.185,,,,,,,,0.031,,8.78,,4.11,,0.067,,0.617,,,,0.316,,0.196,,0.0109,,157,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-07-09 14:44,WATER,DISCRETE SAMPLE,3.6,,,,0.002,,11.66,,0.584,,0.128,,,,,,,,0.013,,7.89,,3.77,L,0.002,,0.352,,,,0.232,,0.134,,0.0057,,122,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330023,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-08-07 13:00,WATER,DISCRETE SAMPLE,4.2,,,,0,,NC,,0.279,,0.015,,,,,,,,0.008,,5.8,,0.351,,0.003,,0.059,,,,0.22,,0.0156,L,0.002,L,1,L,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:10,WATER,TRIPLICATE SAMPLE,4.4,,,,0.001,,8.699,,0.358,,0.029,,,,,,,,0.016,,8.12,,0.579,,0.004,,0.082,,,,0.276,,0.0303,L,0.002,,12,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:15,WATER,TRIPLICATE SAMPLE,4.4,,,,PM,,8.745,,0.35,,0.027,,,,,,,,0.014,,8.08,,0.665,,0.003,,0.082,,,,0.268,,0.0275,L,0.002,,11,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:20,WATER,TRIPLICATE SAMPLE,4.4,,,,PM,,8.808,,0.349,,0.026,,,,,,,,0.015,,8.12,,0.688,,0.003,,0.082,,,,0.267,,0.0271,L,0.002,,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-05-30 13:35,WATER,DISCRETE SAMPLE,0.75,,,,0.001,,16.43,,0.797,,0.123,,,,,,,,0.047,,14.6,,1.83,,0.032,,0.147,,0.65,,,,0.152,,0.029,,12.4,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-07-27 12:15,WATER,DISCRETE SAMPLE,0.9,,,,0.001,,16.757,,0.772,,0.103,,,,,,,,0.026,,16.3,,0.457,,0.013,,0.037,,0.735,,,,0.137,,0.034,,1.2,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330083,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:05,WATER,TRIPLICATE SAMPLE,1.3,,,,0.001,,17.806,,0.764,,0.059,,,,,,,,0.022,,17.4,,0.406,L,0.01,,0.043,,0.721,,,,0.088,,0.029,,2,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:10,WATER,TRIPLICATE SAMPLE,1.3,,,,PM,,18.114,,0.754,,0.054,,,,,,,,0.027,,17.7,,0.414,L,0.01,,0.03,,0.724,,,,0.085,,0.031,,1.6,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:15,WATER,TRIPLICATE SAMPLE,1.3,,,,PM,,18.067,,0.757,,0.055,,,,,,,,0.028,,17.6,,0.467,L,0.01,,0.039,,0.718,,,,0.087,,0.032,,1.6,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-09-14 11:46,WATER,DISCRETE SAMPLE,1,,,,0.001,,16.805,,0.746,,0.056,,,,,,,,0.019,,16.4,,0.405,L,0.01,,0.039,,0.707,,,,0.08,,0.024,,3.2,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-10-05 12:40,WATER,DISCRETE SAMPLE,1.1,,,,0,,15.46,,0.558,,0.063,,,,,,,,0.035,,14.8,,0.66,L,0.01,,0.055,,0.503,,,,0.083,,0.02,,2.8,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330154,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-02-27 13:50,WATER,DISCRETE SAMPLE,0.45,,,,0.001,,13.365,,1.565,,0.127,,,,,,,,0.33,,12.5,,0.865,,0.489,L,0.01,,1.56,,,,0.136,,0.009,,3.2,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-05-28 12:15,WATER,DISCRETE SAMPLE,1.2,,,,0,,13.17,,0.686,,0.097,,,,,,,,0.027,,11.9,,1.27,,0.045,,0.13,,0.556,,,,0.125,,0.028,,16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-06-24 15:45,WATER,DISCRETE SAMPLE,1.2,,,,0.002,,16.497,,0.851,,0.086,,,,,,,,0.052,,15.6,,0.897,,0.076,,0.094,,0.757,,,,0.137,,0.051,,8.8,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330099,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-07-22 17:00,WATER,DISCRETE SAMPLE,0.9,,,,0.001,,17.808,,0.762,,0.067,,,,,,,,0.014,,17.4,,0.408,L,0.01,,0.055,,,,0.707,,0.108,,0.041,,4.4,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-08-17 14:15,WATER,DISCRETE SAMPLE,1.2,,,,0.001,,18.638,,0.763,,0.068,,,,,,,,0.015,,18,,0.638,,0.011,,0.068,,,,0.695,,0.092,,0.024,,3.6,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330153,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-09-15 13:15,WATER,DISCRETE SAMPLE,0.9,,,,0,,18.58,,0.718,,0.179,,,,,,,,0.013,,16.4,,2.18,L,0.01,,0.093,,,,0.625,,0.196,,0.017,,26,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN330194,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-02-15 15:00,WATER,DISCRETE SAMPLE,0.546,,,,0.001,,13.378,,1.227,,0.148,,,,,,,,0.451,,12.5,,0.878,,0.256,,0.087,,,,1.14,,0.158,,0.01,,9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-06-02 15:00,WATER,DISCRETE SAMPLE,0.8,,,,0.001,,16.107,,0.68,,0.145,,,,,,,,0.026,,15.6,,0.507,L,0.01,,0.138,,,,0.542,,0.161,,0.016,,15,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330061,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:31,WATER,TRIPLICATE SAMPLE,1.2,,,,0.001,,16.715,,0.718,,0.065,,,,,,,,0.02,,15.9,,0.815,,0.032,,0.114,,,,0.604,,0.101,,0.036,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330062,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:36,WATER,TRIPLICATE SAMPLE,1.2,,,,PM,,17.036,,0.719,,0.047,,,,,,,,0.017,,16.2,,0.836,,0.029,,0.095,,,,0.624,,0.0993,,0.052,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330063,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:41,WATER,TRIPLICATE SAMPLE,1.2,,,,PM,,16.941,,0.694,,0.071,,,,,,,,0.017,,16.1,,0.841,,0.021,,0.119,,,,0.575,,0.0983,,0.027,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-08-25 13:40,WATER,DISCRETE SAMPLE,1,,,,0.001,,18.41,,0.85,,0.175,,,,,,,,0.054,,16.1,,2.31,,0.017,,0.244,,,,0.606,,0.192,,0.017,,24,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015PN330114,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-09-21 13:40,WATER,DISCRETE SAMPLE,1.1,,,,0,,16.778,,0.627,,0.075,,,,,,,,0.016,,15.9,,0.878,,0.013,,0.073,,,,0.554,,0.0972,,0.022,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-05-31 14:15,WATER,DISCRETE SAMPLE,1.3,,,,0.001,,14.15,,0.733,,0.119,,,,,,,,0.034,,13.1,,1.05,,0.028,,0.161,,,,0.572,,0.136,,0.017,,10,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-06-25 12:25,WATER,DISCRETE SAMPLE,1,,,,0.001,,15.766,,0.628,,0.071,,,,,,,,0.017,,15,,0.766,L,0.01,,0.107,,,,0.521,,0.0985,,0.028,,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-07-24 13:40,WATER,DISCRETE SAMPLE,0.9,,,,0.002,,20.079,,0.711,,0.041,,,,,,,,0.054,,19.4,,0.679,L,0.01,,0.061,,,,0.65,,0.0604,,0.019,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330104,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-08-21 15:20,WATER,DISCRETE SAMPLE,1.3,,,,0.001,,19.344,,0.878,,0.025,,,,,,,,0.025,,18.7,,0.644,L,0.01,,0.086,,,,0.792,,0.073,,0.048,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN330168,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-02-22 12:30,WATER,DISCRETE SAMPLE,0.3,,,,0,,15.02,,1.305,,0.101,,,,,,,,0.28,,14.4,,0.62,,0.357,,0.095,,,,1.21,,0.15,,0.049,,7,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:00,WATER,TRIPLICATE SAMPLE,1.2,,,,0.001,,15.96,,0.62,,0.081,,,,,,,,0.018,,15,,0.96,,0.012,,0.121,,,,0.499,,0.13,,0.049,,9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:05,WATER,TRIPLICATE SAMPLE,1.2,,,,PM,,15.96,,0.714,,0.089,,,,,,,,0.018,,14.9,,1.06,,0.011,,0.124,,,,0.59,,0.13,,0.041,,9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:10,WATER,TRIPLICATE SAMPLE,1.2,,,,PM,,15.941,,0.698,,0.068,,,,,,,,0.021,,15,,0.941,,0.015,,0.094,,,,0.604,,0.13,,0.062,,8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-06-27 13:25,WATER,DISCRETE SAMPLE,0.9,,,,0.001,,16.368,,0.726,,0.052,,,,,,,,0.014,,15.6,,0.768,L,0.01,,0.082,,,,0.644,,0.0873,,0.035,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-07-24 13:45,WATER,DISCRETE SAMPLE,1.1,,,,0,,21.155,,1.068,,0.038,,,,,,,,0.016,,20.4,,0.755,L,0.01,,0.081,,,,0.987,,0.0695,,0.032,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
