2016PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-27 13:15,WATER,DISCRETE SAMPLE,5.9,,10.6,,0.21,,,,,,
2016PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-27 13:00,WATER,DISCRETE SAMPLE,1.1,,10.6,,0.22,,,,,,
2016PN330047,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-06-27 12:40,WATER,DISCRETE SAMPLE,2.4,,9.56,,0.19,,,,,,
2016PN330075,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-07-27 12:50,WATER,DISCRETE SAMPLE,5.5,,6.93,,0.15,,,,,,
2016PN330076,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-07-27 12:25,WATER,DISCRETE SAMPLE,1.2,,5.55,,0.13,,,,,,
2016PN330077,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-07-27 11:55,WATER,DISCRETE SAMPLE,2.69,,5.29,,0.14,,,,,,
2016PN330079,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-08-24 11:50,WATER,DISCRETE SAMPLE,4.3,,2.81,,0.09,,,,,,
2016PN330080,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-08-24 13:10,WATER,DISCRETE SAMPLE,1.6,,2.39,,0.09,,,,,,
2016PN330081,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-08-24 12:30,WATER,DISCRETE SAMPLE,1.7,,2.52,,0.07,,,,,,
2016PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-09-21 14:15,WATER,DISCRETE SAMPLE,5.3,,4.73,,0.16,,,,,,
2016PN330125,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-09-21 14:45,WATER,DISCRETE SAMPLE,0.8,,4.07,,0.18,,,,,,
2016PN330126,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-09-21 15:05,WATER,DISCRETE SAMPLE,2,,4.06,,0.16,,,,,,
2016PN330129,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-10-16 14:30,WATER,TRIPLICATE SAMPLE,5,,2.24,,0.11,,,,,,
2016PN330130,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-10-16 14:35,WATER,TRIPLICATE SAMPLE,5,,2.22,,0.09,,,,,,
2016PN330131,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-10-16 14:40,WATER,TRIPLICATE SAMPLE,5,,2.33,,0.09,,,,,,
2016PN330136,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-10-16 14:10,WATER,DISCRETE SAMPLE,1.8,,2.03,,0.08,,,,,,
2016PN330137,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2016-10-16 13:35,WATER,DISCRETE SAMPLE,1.9,,2.03,,0.08,,,,,,
2016PN880151,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-01-25 11:45,WATER,VERTICAL INTEGRATED,5.47,,0.81,,0.05,,,,,,
2016PN880160,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-02-15 11:40,WATER,VERTICAL INTEGRATED,5.7,,0.8,L,0.03,,,,,,
2016PN880175,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-03-15 11:40,WATER,VERTICAL INTEGRATED,4.53,,0.7,L,0.03,,,,,,
2017PN880005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-05-26 13:30,WATER,VERTICAL INTEGRATED,8.1,,16,,0.23,,,,,,
2017PN880018,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-06-22 13:10,WATER,DISCRETE SAMPLE,0.5,,23.5,,0.28,,,,,,
2017PN880025,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-07-21 13:30,WATER,VERTICAL INTEGRATED,7.2,,4.68,,0.2,,,,,,
2017PN880042,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-08-18 11:00,WATER,VERTICAL INTEGRATED,5.3,,3.95,,0.2,,,,,,
2017PN880055,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-09-14 13:20,WATER,VERTICAL INTEGRATED,4.9,,1.38,,0.05,,,,,,
2017PN880062,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2017-10-12 13:45,WATER,VERTICAL INTEGRATED,7.3,,2.51,,0.08,,,,,,
2017PN880067,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-01-15 11:20,WATER,VERTICAL INTEGRATED,6.45,,0.91,,0.04,,,,,,
2017PN880082,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-02-12 10:55,WATER,VERTICAL INTEGRATED,6.14,,0.79,,0.04,,,,,,
2017PN880089,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-03-13 10:30,WATER,TRIPLICATE SAMPLE,5.94,,0.58,L,0.03,,,,,,
2017PN880090,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-03-13 10:35,WATER,TRIPLICATE SAMPLE,5.94,,0.57,L,0.03,,,,,,
2017PN880091,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-03-13 10:40,WATER,TRIPLICATE SAMPLE,5.94,,0.58,,0.04,,,,,,
2018PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-05-25 12:10,WATER,DISCRETE SAMPLE,4.1,,11,,0.16,,,,,,
2018PN280002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-06-07 12:05,WATER,DISCRETE SAMPLE,3.4,,7.13,,0.09,,,,,,
2018PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-06-21 11:10,WATER,DISCRETE SAMPLE,4.2,,23.1,,0.19,,,,,,
2018PN280004,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-07-06 12:08,WATER,DISCRETE SAMPLE,4.1,,16.2,,0.26,,,,,,
2018PN280005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-07-19 11:10,WATER,DISCRETE SAMPLE,3.7,,12.5,,0.28,,,,,,
2018PN280006,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-08-02 11:12,WATER,DISCRETE SAMPLE,3.9,,8.99,,0.22,,,,,,
2018PN280007,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-08-16 10:30,WATER,DISCRETE SAMPLE,,,4.44,,0.14,,,,,,
2018PN280008,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-09-13 11:50,WATER,DISCRETE SAMPLE,3.2,,2.5,,0.06,,,,,,
2018PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-10-12 11:55,WATER,TRIPLICATE SAMPLE,3.2,,2.18,,0.06,,,,,,
2018PN280010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-10-12 12:00,WATER,TRIPLICATE SAMPLE,3.2,,2.65,,0.06,,,,,,
2018PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2018-10-12 12:05,WATER,TRIPLICATE SAMPLE,3.2,,2.28,,0.06,,,,,,
2018PN280017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-01-14 11:30,WATER,DISCRETE SAMPLE,2.73,,0.8,,0.04,,,,,,
2018PN280020,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-02-14 11:10,WATER,DISCRETE SAMPLE,1.94,,0.72,,0.04,,,,,,
2018PN280023,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-03-14 11:30,WATER,DISCRETE SAMPLE,1.72,,0.77,L,0.03,,,,,,
2019PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-06-06 12:35,WATER,TRIPLICATE SAMPLE,4.6,,7,,,,5.36,,0.127,,0.144
2019PN280002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-06-06 12:40,WATER,TRIPLICATE SAMPLE,4.6,,6.87,,,,5.08,,0.123,,0.133
2019PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-06-06 12:45,WATER,TRIPLICATE SAMPLE,4.6,,6.72,,,,5.09,,0.118,,0.129
2019PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-05-24 15:00,WATER,DISCRETE SAMPLE,4.2,,10.8,,,,7.58,,0.16,,0.17
2019PN280010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-07-03 11:50,WATER,DISCRETE SAMPLE,7.1,,29.9,,,,8.79,,0.408,,0.351
2019PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-07-18 12:00,WATER,DISCRETE SAMPLE,6,,21,,,,9.06,,0.206,,0.221
2019PN280012,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-08-01 11:30,WATER,DISCRETE SAMPLE,6,,21.9,,,,9.18,,0.271,,0.27
2019PN280013,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-08-15 11:15,WATER,DISCRETE SAMPLE,5.2,,8.48,,,,5.42,,0.247,,0.253
2019PN280014,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-09-12 11:25,WATER,DISCRETE SAMPLE,4.7,,4.94,,,,3.95,,0.148,,0.147
2019PN280015,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2019-10-10 12:10,WATER,DISCRETE SAMPLE,3.8,,3.92,,,,3.41,,0.092,,0.094
2019PN280016,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2020-01-15 11:20,WATER,DISCRETE SAMPLE,4.83,,,,,,,,,,
2019PN280019,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2020-02-14 11:05,WATER,DISCRETE SAMPLE,4.62,,,,,,,,,,
2019PN280025,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2020-03-12 13:40,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2020PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2020-09-15 10:30,WATER,DISCRETE SAMPLE,4.1,,,,,,3.11,,0.1,,
2020PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2020-10-22 11:40,WATER,DISCRETE SAMPLE,4.2,,,,,,2.25,,0.08,,
2020PN280005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-02-24 9:30,WATER,DISCRETE SAMPLE,4.2,,,,,,0.93,,NA,,
2020PN280006,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-03-16 10:45,WATER,DISCRETE SAMPLE,4.5,,,,,,,,,,
2021PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-06-23 12:25,WATER,DISCRETE SAMPLE,6.2,,,,,,9.58,,0.194,,
2021PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-07-27 11:15,WATER,DISCRETE SAMPLE,4.4,,,,,,3.25,,0.062,,
2021PN280005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-08-12 12:35,WATER,DISCRETE SAMPLE,4.8,,,,,,2.37,,0.174,,
2021PN280007,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-08-24 12:10,WATER,DISCRETE SAMPLE,4.9,,,,,,1.89,,0.044,,
2021PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-09-13 10:55,WATER,DISCRETE SAMPLE,5.6,,,,,,4.26,,0.094,,
2021PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2021-10-12 12:10,WATER,DISCRETE SAMPLE,4.8,,,,,,1.53,,0.035,,
2021PN280013,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-03-13 11:45,WATER,DISCRETE SAMPLE,5.5,,,,,,0.62,,0.03,,
2022PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-05-25 12:13,WATER,DISCRETE SAMPLE,6.6,,,,,,6.18,,0.143,,
2022PN280002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-06-09 11:50,WATER,DISCRETE SAMPLE,5.9,,,,,,4.13,,0.137,,
2022PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-06-23 11:12,WATER,DISCRETE SAMPLE,7.1,,,,,,7.36,,0.276,,
2022PN280004,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-07-07 12:20,WATER,DISCRETE SAMPLE,6.7,,,,,,11.13,,0.558,,
2022PN280005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-07-21 11:00,WATER,DISCRETE SAMPLE,4.6,,,,,,10.37,,0.2,,
2022PN280006,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-08-04 11:45,WATER,DISCRETE SAMPLE,3.9,,,,,,3.54,,0.087,,
2022PN280007,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-08-18 11:12,WATER,DISCRETE SAMPLE,3.9,,,,,,4.19,,0.107,,
2022PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-09-20 11:08,WATER,DISCRETE SAMPLE,3.3,,,,,,1.51,,0.042,,
2022PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-10-13 11:20,WATER,TRIPLICATE SAMPLE,3.1,,,,,,1.33,,0.045,,
2022PN280012,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-10-13 11:25,WATER,TRIPLICATE SAMPLE,3.1,,,,,,1.39,,0.045,,
2022PN280013,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2022-10-13 11:30,WATER,TRIPLICATE SAMPLE,3.1,,,,,,1.41,,0.043,,
2022PN280017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-01-25 13:45,WATER,DISCRETE SAMPLE,2.6,,,,,,0.6,,0.023,,
2022PN280018,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-02-21 13:20,WATER,DISCRETE SAMPLE,2.6,,,,,,0.52,,0.027,,
2023PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-05-23 11:50,WATER,VERTICAL INTEGRATED,4.1,,,,,,4.36,,0.097,,
2023PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-06-08 12:50,WATER,VERTICAL INTEGRATED,4.2,,,,,,4.05,,0.136,,
2023PN280004,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-06-22 11:35,WATER,VERTICAL INTEGRATED,5.8,,,,,,6.42,,0.317,,
2023PN280006,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-07-05 12:05,WATER,VERTICAL INTEGRATED,4,,,,,,6.6,,0.352,,
2023PN280007,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-07-20 13:20,WATER,VERTICAL INTEGRATED,1,,,,,,4.12,,0.139,,
2023PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-08-04 12:20,WATER,VERTICAL INTEGRATED,4.6,,,,,,13.24,,0.365,,
2023PN280010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-08-19 10:45,WATER,VERTICAL INTEGRATED,3.9,,,,,,9.07,,0.256,,
2023PN280012,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-09-14 11:40,WATER,VERTICAL INTEGRATED,3.3,,,,,,3.26,,0.09,,
2023PN280014,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2023-10-13 12:00,WATER,VERTICAL INTEGRATED,2.7,,,,,,1.65,,0.053,,
2023PN280020,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-01-18 13:15,WATER,VERTICAL INTEGRATED,2.7,,,,,,1.06,,0.029,,
2023PN280021,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-02-16 11:15,WATER,VERTICAL INTEGRATED,2.9,,,,,,0.75,,0.029,,
