2012PN200172,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-08-29 13:21,WATER,VERTICAL INTEGRATED,2.01,,129.214,,0,,1.056,,22.613,,128.613,,0,,0.308,,0.43,,15.674,,7.664,,156.174,,,,,,NA,,NA,,106,,33.7,,7.96,,0.08,,10.8,,8.28,,1.08,,5.61,,11.1,,22.2,,,,,,,,,,,,35,,266,,,,8.88,,8.09,,284,,19.94,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200173,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-08-29 13:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,131.652,,0,,1.076,,27.078,,135.078,,0,,0.479,,0.36,,13.175,,7.321,,157.574,,,,,,NA,,NA,,108,,35.3,,5.44,,0.09,,11.4,,8.28,,1.06,,5.33,,9.51,,24.6,,,,,,,,,,,,30,,262,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200174,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:47,WATER,TRIPLICATE SAMPLE,,,99.958,,0,,1.536,,17.419,,99.419,,0,,PM,,0.22,,9.929,,PM,,117.423,,,,,,NA,,NA,,82,,27.4,,1.29,,0.09,,7.53,,8.01,,0.7,,4.32,,5.08,,21.6,,,,,,,,,,,,35,,205,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200175,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:52,WATER,TRIPLICATE SAMPLE,,,99.349,,0,,3.953,,17.17,,98.67,,0,,PM,,0.22,,9.909,,PM,,116.663,,,,,,NA,,NA,,81.5,,27.1,,1.3,,0.09,,7.53,,7.6,,0.69,,4.31,,5.03,,21.5,,,,,,,,,,,,35,,205,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200181,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 13:02,WATER,TRIPLICATE SAMPLE,,,135.309,,0,,1.186,,20.989,,131.989,,0,,PM,,0.32,,11.993,,PM,,156.644,,,,,,NA,,NA,,111,,36.8,,3.34,,0.08,,9.74,,8.25,,1.09,,5,,8.35,,25.6,,,,,,,,,,,,30,,258,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200182,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-08-28 13:07,WATER,TRIPLICATE SAMPLE,,,141.404,,0,,1.567,,15.569,,131.569,,0,,PM,,0.32,,12.063,,PM,,159.584,,,,,,NA,,NA,,116,,36.5,,3.35,,0.08,,9.82,,8.15,,1.1,,5.01,,8.38,,25.7,,,,,,,,,,,,30,,266,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200188,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-10-23 13:36,WATER,VERTICAL INTEGRATED,1.99,,120.681,,0,,2.036,,9.821,,108.821,,0,,-0.696,,0.6,,22.152,,9.362,,151.925,,,,,,NA,,NA,,99,,29.5,,10.1,,0.09,,8.54,,7.97,,1.05,,6.03,,14.4,,22.7,,,,,,,,,,,,60,,266,,,,12.98,,8.17,,273,,1.46,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200189,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-10-23 14:30,WATER,VERTICAL INTEGRATED,1.08,,116.658,,0,,1.968,,7.973,,103.673,,0,,-0.733,,0.61,,22.992,,9.435,,147.161,,,,,,NA,,NA,,95.7,,27.9,,10.5,,0.09,,8.26,,7.97,,1.03,,6.35,,14.4,,21.1,,,,,,,,,,,,55,,258,,,,13.02,,8.16,,266,,1.5,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200190,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-10-23 14:50,WATER,VERTICAL INTEGRATED,4.15,,114.342,,0,,1.929,,11.799,,105.599,,0,,-0.721,,0.64,,23.525,,9.413,,147.752,,,,,,NA,,NA,,93.8,,29.1,,11.4,,0.09,,8,,7.97,,0.98,,6.5,,15.1,,20.2,,,,,,,,,,,,60,,256,,,,13.02,,8.14,,263,,1.54,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200191,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-10-23 15:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,125.557,,0,,1.975,,14.132,,117.132,,0,,0.142,,0.58,,20.917,,7.717,,158.622,,,,,,NA,,NA,,103,,32.4,,9.72,,0.09,,8.8,,8,,1.08,,5.73,,14.4,,24.5,,,,,,,,,,,,50,,278,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200192,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-09-26 11:47,WATER,VERTICAL INTEGRATED,203,,119.462,,0,,1.879,,14.273,,112.273,,0,,-0.259,,0.52,,19.541,,8.518,,150.714,,,,,,NA,,NA,,98,,30.8,,7.19,,0.13,,8.59,,8,,1.22,,5.94,,12.7,,25.3,,,,,,,,,,,,65,,251,,,,9.96,,8.22,,262,,12.9,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200193,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-09-26 13:11,WATER,VERTICAL INTEGRATED,0.71,,119.462,,0,,2.264,,8.957,,106.957,,0,,-0.379,,0.5,,19.431,,8.677,,143.144,,,,,,NA,,NA,,98,,29.1,,6.98,,0.12,,8.33,,7.92,,1.06,,7.31,,12,,19.4,,,,,,,,,,,,90,,235,,,,10,,8.07,,249,,12.39,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200194,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-09-26 13:38,WATER,VERTICAL INTEGRATED,1.51,,121.9,,0,,2.31,,7.248,,107.248,,0,,-0.362,,0.5,,19.124,,8.643,,143.724,,,,,,NA,,NA,,100,,29.2,,6.87,,0.11,,8.34,,7.92,,1.08,,7.48,,11.8,,18.8,,,,,,,,,,,,90,,237,,,,9.88,,8.08,,249,,12.6,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200195,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-09-26 13:57,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,120.681,,0,,1.812,,12.982,,111.982,,0,,PM,,0.49,,18.468,,PM,,149.764,,,,,,NA,,NA,,99,,30.7,,7.11,,0.13,,8.58,,8.02,,1.11,,5.99,,11.8,,24.9,,,,,,,,,,,,65,,247,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200196,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-09-27 9:51,WATER,VERTICAL INTEGRATED,0.8,,153.594,,0,,1.347,,20.416,,146.416,,0,,0.158,,0.42,,14.772,,7.933,,182.845,,,,,,NA,,NA,,126,,40.5,,4.05,,0.09,,11,,8.25,,1.4,,3.64,,11.8,,34.3,,,,,,,,,,,,30,,312,,,,10.19,,8.34,,326,,11.29,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200197,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-09-27 10:18,WATER,VERTICAL INTEGRATED,1.74,,148.718,,0,,1.244,,22.755,,144.755,,0,,0.175,,0.37,,13.168,,7.92,,175.904,,,,,,NA,,NA,,122,,40,,2.36,,0.09,,10.9,,8.27,,1.3,,3.71,,10.2,,34.1,,,,,,,,,,,,30,,298,,,,10.25,,8.41,,314,,11.73,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200198,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-09-27 10:33,WATER,VERTICAL INTEGRATED,1.85,,151.156,,0,,1.206,,21.005,,145.005,,0,,0.203,,0.36,,12.878,,7.883,,177.094,,,,,,NA,,NA,,124,,40.1,,2.2,,0.09,,10.9,,8.29,,1.31,,3.69,,9.96,,34.4,,,,,,,,,,,,30,,300,,,,10.29,,8.41,,313,,11.74,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200199,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-09-27 10:48,WATER,VERTICAL INTEGRATED,1.61,,151.156,,0,,0.999,,20.506,,144.506,,0,,0.678,,0.36,,12.959,,7.014,,177.074,,,,,,NA,,NA,,124,,39.9,,2.28,,0.08,,10.9,,8.37,,1.33,,3.74,,10,,34.4,,,,,,,,,,,,30,,297,,,,10.34,,8.41,,312,,11.88,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200200,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-09-27 10:59,WATER,VERTICAL INTEGRATED,1.62,,148.718,,0,,1.159,,18.848,,140.848,,0,,0.587,,0.37,,13.37,,7.126,,173.634,,,,,,NA,,NA,,122,,38.6,,2.67,,0.08,,10.8,,8.3,,1.26,,3.88,,10.1,,33,,,,,,,,,,,,30,,293,,,,10.37,,8.41,,308,,11.96,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200201,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-09-27 11:09,WATER,VERTICAL INTEGRATED,1.31,,141.404,,0,,1.155,,17.222,,133.222,,0,,0.132,,0.4,,14.616,,8.017,,166.694,,,,,,NA,,NA,,116,,36.7,,3.77,,0.08,,10.1,,8.28,,1.23,,4.27,,10.6,,30.3,,,,,,,,,,,,35,,280,,,,10.38,,8.38,,297,,11.83,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200202,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-09-27 11:46,WATER,VERTICAL INTEGRATED,1.97,,129.214,,0,,1.274,,15.973,,121.973,,0,,0.366,,0.45,,16.735,,7.467,,156.234,,,,,,NA,,NA,,106,,33.3,,6.03,,0.08,,9.43,,8.2,,1.17,,5.18,,11.4,,26,,,,,,,,,,,,50,,263,,,,10.41,,8.35,,282,,11.71,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200203,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-09-27 11:58,WATER,VERTICAL INTEGRATED,2.11,,104.834,,0,,1.246,,9.879,,95.879,,0,,0.092,,0.6,,23.216,,7.935,,134.164,,,,,,NA,,NA,,86,,25.9,,10.9,,0.06,,7.58,,8.12,,1.03,,7.05,,13.5,,16.5,,,,,,,,,,,,70,,229,,,,10.38,,8.2,,241,,11.26,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200204,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-09-27 12:09,WATER,VERTICAL INTEGRATED,2.15,,85.94,,0,,1.383,,4.548,,75.048,,0,,-0.235,,0.76,,30.116,,8.461,,117.624,,,,,,NA,,NA,,70.5,,19.8,,14.9,,0.06,,6.22,,7.99,,0.96,,8.4,,15.1,,9.84,,,,,,,,,,,,85,,202,,,,10.34,,8.07,,214,,11.02,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200205,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-09-27 12:23,WATER,VERTICAL INTEGRATED,1.72,,77.407,,0,,1.336,,0.347,,63.847,,0,,-0.807,,0.88,,35.041,,9.575,,109.723,,,,,,NA,,NA,,63.5,,16.6,,17.5,,0.06,,5.44,,7.96,,0.88,,9.2,,16.1,,5.79,,,,,,,,,,,,85,,184,,,,10.32,,7.96,,195,,10.93,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200206,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-09-27 12:41,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,125.557,,0,,1.238,,14.413,,117.413,,0,,0.338,,0.48,,18.01,,7.523,,153.534,,,,,,NA,,NA,,103,,32.1,,7.26,,0.07,,9.05,,8.2,,1.18,,5.43,,12,,24.6,,,,,,,,,,,,50,,261,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200207,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:20,WATER,REPLICATE SAMPLE,0.93,,143.842,,0,,1.521,,18.205,,136.205,,0,,0.431,,0.38,,13.883,,7.308,,166.554,,,,,,NA,,NA,,118,,37.4,,2.23,,0.1,,10.4,,8.17,,1.19,,4.39,,10.2,,29.8,,,,,,,,,,,,35,,281,,,,10.56,,8.39,,297,,11.6,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200208,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:21,WATER,REPLICATE SAMPLE,,,143.842,,0,,1.418,,17.793,,135.793,,0,,0.46,,0.37,,13.663,,7.279,,168.034,,,,,,NA,,NA,,118,,37.4,,2.21,,0.1,,10.3,,8.2,,1.16,,4.34,,9.98,,31.7,,,,,,,,,,,,45,,279,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200209,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:22,WATER,REPLICATE SAMPLE,,,145.061,,0,,2.391,,16.793,,135.793,,0,,0.244,,0.37,,13.449,,7.492,,167.784,,,,,,NA,,NA,,119,,37.4,,2.19,,0.09,,10.3,,7.98,,1.17,,4.29,,9.8,,31.1,,,,,,,,,,,,40,,283,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200210,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:23,WATER,REPLICATE SAMPLE,,,146.28,,0,,1.955,,16.043,,136.043,,0,,0.339,,0.37,,13.522,,7.393,,168.384,,,,,,NA,,NA,,120,,37.5,,2.14,,0.08,,10.3,,8.07,,1.18,,4.26,,9.88,,31,,,,,,,,,,,,45,,284,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200211,OIL SANDS LONGTERM WQ MONITORING,M2 SHORE SAMPLING LOCATION,AL07DD0002,56.72061111,-111.4058056,2012-09-19 10:24,WATER,REPLICATE SAMPLE,,,146.28,,0,,1.699,,14.544,,134.544,,0,,0.392,,0.38,,13.912,,7.347,,167.824,,,,,,NA,,NA,,120,,36.9,,2.19,,0.08,,10.3,,8.13,,1.18,,4.33,,10.1,,30.7,,,,,,,,,,,,40,,283,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200212,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:17,WATER,REPLICATE SAMPLE,3.12,,142.623,,0,,1.544,,18.543,,135.543,,0,,0.416,,0.33,,12.385,,7.328,,166.584,,,,,,NA,,NA,,117,,37.3,,1.94,,0.09,,10.3,,8.16,,1.18,,4.13,,8.9,,32.5,,,,,,,,,,,,35,,284,,,,10.64,,8.4,,298,,12.6,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200213,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:18,WATER,REPLICATE SAMPLE,,,142.623,,0,,1.112,,19.292,,136.292,,0,,0.559,,0.33,,12.245,,7.181,,166.718,,,,,,NA,,NA,,117,,37.6,,1.92,,0.1,,10.3,,8.3,,1.14,,4.17,,8.83,,32.4,,,,,,,,,,,,35,,288,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200214,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:19,WATER,REPLICATE SAMPLE,,,146.28,,0,,1.409,,17.291,,137.291,,0,,0.484,,0.33,,12.306,,7.242,,169.094,,,,,,NA,,NA,,120,,38,,1.94,,0.08,,10.3,,8.21,,1.21,,4.17,,8.95,,32.4,,,,,,,,,,,,30,,287,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200215,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:20,WATER,REPLICATE SAMPLE,,,141.404,,0,,1.394,,20.63,,136.63,,0,,0.459,,0.33,,12.312,,7.282,,166.334,,,,,,NA,,NA,,116,,37.9,,1.93,,0.08,,10.2,,8.2,,1.18,,4.19,,8.91,,32.3,,,,,,,,,,,,35,,283,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200216,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 2 OF 10,AL07DD0002,56.72038889,-111.4053611,2012-09-19 12:21,WATER,REPLICATE SAMPLE,,,143.842,,0,,1.452,,17.881,,135.881,,0,,0.452,,0.33,,12.371,,7.285,,167.204,,,,,,NA,,NA,,118,,37.6,,1.91,,0.08,,10.2,,8.19,,1.18,,4.18,,8.91,,32.3,,,,,,,,,,,,35,,285,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200217,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 3 OF 10,AL07DD0002,56.72008333,-111.405,2012-09-19 14:21,WATER,REPLICATE SAMPLE,4.08,,152.375,,0,,1.468,,10.881,,135.881,,0,,0.143,,0.33,,12.141,,7.925,,171.444,,,,,,NA,,NA,,125,,37.6,,1.94,,0.08,,10.2,,8.21,,1.16,,4.2,,8.72,,32.5,,,,,,,,,,,,35,,283,,,,10.73,,8.34,,298,,13.07,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
